Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
    lo: 376707186 4160571    0    0    0     0          0         0 376707186 4160571    0    0    0     0       0          0
enp42s0: 1334297356 3299357    0    0    0     0          0    147474 1040915117 2752932    0   18    0     0       0          0
  wlo1:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
virbr0:       0       0    0    0    0     0          0         0        0       0    0 5221    0     0       0          0
br-ba300e692741:       0       0    0    0    0     0          0         0        0       0    0 5218    0     0       0          0
br-f6758c698ee1:     280      10    0    0    0     0          0         0  3354590   10010    0    5    0     0       0          0
br-f97fc0b364be:       0       0    0    0    0     0          0         0        0       0    0 5217    0     0       0          0
br-01b032a2703a:       0       0    0    0    0     0          0         0        0       0    0 5216    0     0       0          0
docker0:       0       0    0    0    0     0          0         0        0       0    0 5216    0     0       0          0
br-4eaf6a821e71:       0       0    0    0    0     0          0         0        0       0    0 5216    0     0       0          0
br-8c79226f8f43:      84       3    0    0    0     0          0         0  3354731   10009    0    4    0     0       0          0
br-94b2d3043113: 17731043  278242    0    0    0     0          0         0 34163716  425032    0    4    0     0       0          0
veth12d40a9:     126       3    0    0    0     0          0         0  4958521   14875    0    0    0     0       0          0
veth18a63ed:     126       3    0    0    0     0          0         0  4957340   14851    0    0    0     0       0          0
veth1bb666d: 17463998  112625    0    0    0     0          0         0 73947358  118261    0    0    0     0       0          0
vethe10fad0:     126       3    0    0    0     0          0         0  4958460   14881    0    0    0     0       0          0
veth1e2f99f:   11999     148    0    0    0     0          0         0  4975211   14985    0    0    0     0       0          0
veth49e9f30:   18372     136    0    0    0     0          0         0  4968970   14998    0    0    0     0       0          0
veth226bcd1: 1205354    6416    0    0    0     0          0         0  5346447   19460    0    0    0     0       0          0
vethd2d3547: 131634744  418943    0    0    0     0          0         0 109753171  487507    0    0    0     0       0          0
vethbab2e91: 23135290  135106    0    0    0     0          0         0 68021502  122495    0    0    0     0       0          0
veth2d01788:  660751    4168    0    0    0     0          0         0  6170867   18838    0    0    0     0       0          0
veth621c434: 191696720  895440    0    0    0     0          0         0 196296215 1023057    0    0    0     0       0          0
vethf0b5661: 3698233    9359    0    0    0     0          0         0  9453152   33376    0    0    0     0       0          0
vethacef255: 62832182   57874    0    0    0     0          0         0 12187784   72742    0    0    0     0       0          0
