Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
    lo: 369555633 4084631    0    0    0     0          0         0 369555633 4084631    0    0    0     0       0          0
enp42s0: 1315437043 3246093    0    0    0     0          0    146567 1028686381 2690702    0   18    0     0       0          0
  wlo1:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
virbr0:       0       0    0    0    0     0          0         0        0       0    0 5200    0     0       0          0
br-ba300e692741:       0       0    0    0    0     0          0         0        0       0    0 5197    0     0       0          0
br-f6758c698ee1:     280      10    0    0    0     0          0         0  3340472    9968    0    5    0     0       0          0
br-f97fc0b364be:       0       0    0    0    0     0          0         0        0       0    0 5196    0     0       0          0
br-01b032a2703a:       0       0    0    0    0     0          0         0        0       0    0 5195    0     0       0          0
docker0:       0       0    0    0    0     0          0         0        0       0    0 5195    0     0       0          0
br-4eaf6a821e71:       0       0    0    0    0     0          0         0        0       0    0 5195    0     0       0          0
br-8c79226f8f43:      84       3    0    0    0     0          0         0  3340613    9967    0    4    0     0       0          0
br-94b2d3043113: 17656476  277073    0    0    0     0          0         0 34019715  423248    0    4    0     0       0          0
veth12d40a9:     126       3    0    0    0     0          0         0  4937454   14812    0    0    0     0       0          0
veth18a63ed:     126       3    0    0    0     0          0         0  4936203   14787    0    0    0     0       0          0
veth1bb666d: 17390025  112147    0    0    0     0          0         0 73631549  117760    0    0    0     0       0          0
vethe10fad0:     126       3    0    0    0     0          0         0  4937323   14817    0    0    0     0       0          0
veth1e2f99f:   11999     148    0    0    0     0          0         0  4954144   14922    0    0    0     0       0          0
veth49e9f30:   18372     136    0    0    0     0          0         0  4947903   14935    0    0    0     0       0          0
veth226bcd1: 1200088    6387    0    0    0     0          0         0  5323653   19376    0    0    0     0       0          0
vethd2d3547: 131080133  417177    0    0    0     0          0         0 109291266  485454    0    0    0     0       0          0
vethbab2e91: 23038325  134539    0    0    0     0          0         0 67735472  121979    0    0    0     0       0          0
veth2d01788:  657640    4147    0    0    0     0          0         0  6143901   18755    0    0    0     0       0          0
veth621c434: 190890832  891673    0    0    0     0          0         0 195469686 1018753    0    0    0     0       0          0
vethf0b5661: 3682919    9321    0    0    0     0          0         0  9413465   33237    0    0    0     0       0          0
vethacef255: 62563362   57630    0    0    0     0          0         0 12136000   72434    0    0    0     0       0          0
